route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
264N,RM,264N,Pedro Fontova - Santo Tomas,,3,,0951BC,FFFFFF
271,RM,271,Santiago - San Bernardo,,3,,0951BC,FFFFFF
272,RM,272,Los Libertadores - Ciudad Empresarial,,3,,0951BC,FFFFFF
301,RM,301,Juan Antonio Rios - Angelmo,,3,,00A77E,FFFFFF
302,RM,302,(M) Santa Ana - La Pintana,,3,,00A77E,FFFFFF
302N,RM,302N,Alameda - La Pintana,,3,,00A77E,FFFFFF
303,RM,303,Quilicura - Plaza Italia,,3,,00A77E,FFFFFF
307,RM,307,Lo Marcoleta - Plaza Italia,,3,,00A77E,FFFFFF
308,RM,308,Lo Marcoleta - Mapocho,,3,,00A77E,FFFFFF
314,RM,314,Lo Marcoleta - Plaza Italia,,3,,00A77E,FFFFFF
314v,RM,314v,El Mañio - (M) Los Libertadores,,3,,00A77E,FFFFFF
321,RM,321,(M) Lo Ovalle - Lo Sierra,,3,,00A77E,FFFFFF
322,RM,322,(M) Bellavista De La Florida  - Jardin Alto,,3,,00A77E,FFFFFF
323,RM,323,(M) Bellavista De La Florida  - La Loma,,3,,00A77E,FFFFFF
325,RM,325,Gabriela - (M) Irarrazaval,,3,,00A77E,FFFFFF
329,RM,329,Mall Florida Center - Mall Plaza Oeste,,3,,00A77E,FFFFFF
345,RM,345,Lo Espejo - Alameda,,3,,00A77E,FFFFFF
346N,RM,346N,Lo Espejo - Alameda,,3,,00A77E,FFFFFF
348,RM,348,Rinconada - (M) Lo Ovalle,,3,,00A77E,FFFFFF
385,RM,385,Villa Francia - Florida Center,,3,,00A77E,FFFFFF
401,RM,401,Maipu - Las Condes,,3,,FFC107,000000
402,RM,402,Pudahuel - Centro,,3,,00929E,FFFFFF
403,RM,403,(M) Santa Ana - La Reina,,3,,F58220,000000
404,RM,404,El Descanso - Mapocho,,3,,00929E,FFFFFF
405,RM,405,Maipu - Cantagallo,,3,,FFC107,000000
406,RM,406,Pudahuel - Cantagallo,,3,,00929E,FFFFFF
407,RM,407,Enea - Las Condes,,3,,00929E,FFFFFF
408,RM,408,Renca - Mapocho,,3,,00929E,FFFFFF
409,RM,409,Mapocho - Plaza San Enrique,,3,,F58220,000000
410,RM,410,Renca - Providencia,,3,,ED1C24,FFFFFF
411,RM,411,Providencia - Plaza San Enrique,,3,,F58220,000000
412,RM,412,Enea - La Reina,,3,,00929E,FFFFFF
418,RM,418,Enea - Av. Tobalaba,,3,,00929E,FFFFFF
419,RM,419,Villa Los Heroes - Plaza Italia,,3,,FFC107,000000
421,RM,421,Maipu - San Carlos De Apoquindo,,3,,FFC107,000000
422,RM,422,Pob. Teniente Merino - La Reina,,3,,00929E,FFFFFF
423,RM,423,Nueva San Martin - Plaza Italia,,3,,FFC107,000000
424,RM,424,Pudahuel Sur - (M) U. De Chile,,3,,00929E,FFFFFF
425,RM,425,Rigoberto Jara - Lo Hermida,,3,,F58220,000000
426,RM,426,Pudahuel - La Dehesa,,3,,00929E,FFFFFF
428,RM,428,Quilicura - (M) La Cisterna,,3,,F58220,000000
429,RM,429,Lo Echevers - Lo Hermida,,3,,F58220,000000
430,RM,430,Quilicura - La Dehesa,,3,,F58220,000000
432N,RM,432N,Maipu - La Reina,,3,,F58220,000000
435,RM,435,Quilicura - Vitacura,,3,,F58220,000000
481,RM,481,Plaza Italia - Avenida Portales,,3,,FFC107,000000
486,RM,486,Enea - (M) San Pablo,,3,,00929E,FFFFFF
501,RM,501,(M) Parque Bustamante- Fleming,,3,,00929E,FFFFFF
502,RM,502,Cerro Navia - Cantagallo,,3,,00929E,FFFFFF
503,RM,503,Av. La Estrella  - Vital Apoquindo,,3,,00929E,FFFFFF
504,RM,504,El Tranque - Hospital Dipreca,,3,,00929E,FFFFFF
505,RM,505,Cerro Navia - Peñalolen,,3,,00929E,FFFFFF
506,RM,506,Maipu - Peñalolen,,3,,00929E,FFFFFF
507,RM,507,Enea - Av. Grecia,,3,,00929E,FFFFFF
508,RM,508,Av. Mapocho - Av. Las Torres,,3,,00929E,FFFFFF
509,RM,509,Maipu - Mapocho,,3,,00929E,FFFFFF
510,RM,510,Pudahuel Sur - Rio Claro,,3,,00929E,FFFFFF
511,RM,511,Cerro Navia - Peñalolen,,3,,00929E,FFFFFF
513,RM,513,El Montijo - Jose Arrieta,,3,,00929E,FFFFFF
514,RM,514,Enea - San Luis De Macul,,3,,00929E,FFFFFF
516,RM,516,Pudahuel Sur- Las Parcelas,,3,,00929E,FFFFFF
517,RM,517,J.J.Perez  - Peñalolen,,3,,00929E,FFFFFF
518,RM,518,J.J. Perez - Bilbao,,3,,00929E,FFFFFF
519,RM,519,Alameda - Av.Grecia,,3,,00929E,FFFFFF
712,RM,712,Puente Alto - Recoleta,,3,,FFC107,000000
107c,RM,107c,Ciudad Empresarial - Plaza Renca,,3,,F58220,000000
110c,RM,110c,Renca - Pudahuel Sur,,3,,00929E,FFFFFF
113c,RM,113c,(M) Cerrillos - Ciudad Satelite,,3,,00A77E,FFFFFF
113e,RM,113e,Ciudad Satelite - (M) Los Heroes,,3,,00A77E,FFFFFF
117c,RM,117c,Huechuraba - Providencia,,3,,F58220,000000
201e,RM,201e,(M) Santa Ana - San Bernardo,,3,,0951BC,FFFFFF
203c,RM,203c,La Granja - La Pintana,,3,,0951BC,FFFFFF
203e,RM,203e,Centro - La Pintana,,3,,0951BC,FFFFFF
204e,RM,204e,Alameda - Gabriela,,3,,0951BC,FFFFFF
205c,RM,205c,La Granja - Puente Alto,,3,,0951BC,FFFFFF
206c,RM,206c,(M) Bio Bio - La Pintana,,3,,0951BC,FFFFFF
207c,RM,207c,La Granja - Av. Santa Rosa,,3,,0951BC,FFFFFF
207e,RM,207e,Mapocho - Av. Santa Rosa,,3,,0951BC,FFFFFF
208c,RM,208c,Huechuraba - (M) Zapadores,,3,,0951BC,FFFFFF
209c,RM,209c,La Granja - El Volcan,,3,,0951BC,FFFFFF
210v,RM,210v,Estacion Central - Av. Mexico,,3,,0951BC,FFFFFF
211c,RM,211c,(M) La Cisterna - San Bernardo,,3,,0951BC,FFFFFF
213e,RM,213e,Plaza Italia - Puente Alto,,3,,FFC107,000000
217e,RM,217e,Maestranza - (M) Santa Ana,,3,,0951BC,FFFFFF
219e,RM,219e,(M) La Cisterna - Ciudad Empresarial,,3,,0951BC,FFFFFF
221e,RM,221e,Puente Alto - Matucana,,3,,0951BC,FFFFFF
224c,RM,224c,(M) Vicente Valdes - Gabriela,,3,,0951BC,FFFFFF
301c,RM,301c,(M) La Cisterna - Angelmo,,3,,00A77E,FFFFFF
301c2,RM,301c2,(M) La Cisterna - Lo Blanco ,,3,,00A77E,FFFFFF
302e,RM,302e,(M) Los Heroes - San Ramon,,3,,00A77E,FFFFFF
303e,RM,303e,Quilicura - (M) Santa Ana,,3,,00A77E,FFFFFF
307c,RM,307c,Lo Marcoleta - (M) Los Libertadores,,3,,00A77E,FFFFFF
307e,RM,307e,Rigoberto Jara - Plaza Italia,,3,,00A77E,FFFFFF
308c,RM,308c,Lo Marcoleta - (M) Los Libertadores,,3,,00A77E,FFFFFF
313e,RM,313e,Quilicura - Estacion Central ,,3,,00A77E,FFFFFF
315c,RM,315c,Rigoberto Jara - (M) Los Libertadores,,3,,00A77E,FFFFFF
315e,RM,315e,Rigoberto Jara - Plaza Italia,,3,,00A77E,FFFFFF
401c,RM,401c,(M) Escuela Militar - Las Condes,,3,,F58220,000000
404c,RM,404c,El Descanso - (M) Las Rejas,,3,,00929E,FFFFFF
405c,RM,405c,Plaza Italia - Cantagallo,,3,,F58220,000000
406c,RM,406c,(M) Escuela Militar - Av. El Rodeo,,3,,F58220,000000
408e,RM,408e,Renca - Mapocho,,3,,00929E,FFFFFF
410e,RM,410e,Renca - Providencia,,3,,ED1C24,FFFFFF
413c,RM,413c,Avenida Portales - (M) Las Rejas,,3,,FFC107,000000
414e,RM,414e,(M) Pudahuel - Los Trapenses,,3,,00929E,FFFFFF
415e,RM,415e,(M) Pudahuel - (M) Manquehue,,3,,00929E,FFFFFF
417e,RM,417e,Maipu - (M) Manquehue,,3,,FFC107,000000
420e,RM,420e,(M) Escuela Militar - Lo Hermida,,3,,F58220,000000
422c,RM,422c,Pob. Teniente Merino -  (M) San Pablo,,3,,00929E,FFFFFF
428c,RM,428c,Enea - (M) La Cisterna,,3,,00929E,FFFFFF
428e,RM,428e,(M) Los Libertadores - (M) La Cisterna,,3,,F58220,000000
429c,RM,429c,Quilicura - (M) Tobalaba,,3,,F58220,000000
431c,RM,431c,Nueva San Martin -  (M) Las Rejas,,3,,FFC107,000000
502c,RM,502c,Cerro Navia - Santiago,,3,,00929E,FFFFFF
506e,RM,506e,Maipu - Peñalolen,,3,,00929E,FFFFFF
506v,RM,506v,Villa El Abrazo - Peñalolen,,3,,00929E,FFFFFF
507c,RM,507c,(M) Parque O'Higgins - Peñalolen,,3,,00929E,FFFFFF
514c,RM,514c,(M) Salvador -San Luis De Macul,,3,,00929E,FFFFFF
541N,RM,541N,El Tranque - Colon,,3,,00929E,FFFFFF
712N,RM,712N,Puente Alto - (M) Escuela Militar,,3,,FFC107,000000
546e,RM,546e,Villa El Abrazo - Vitacura,,3,,00929E,FFFFFF
B01,RM,B01,El Salto - Huamachuco,,3,,ED1C24,FFFFFF
B02,RM,B02,Camino Punta Mocha - Estación Mapocho,,3,,ED1C24,FFFFFF
B02N,RM,B02N,Huechuraba - Plaza Italia,,3,,ED1C24,FFFFFF
B03,RM,B03,Miraflores - (M) Cerro Blanco,,3,,ED1C24,FFFFFF
B04,RM,B04,El Cortijo - Mapocho,,3,,ED1C24,FFFFFF
B05,RM,B05,Barrio San Ignacio - Ciudad Empresarial,,3,,ED1C24,FFFFFF
B06,RM,B06,(M) Zapadores - Santa Laura,,3,,ED1C24,FFFFFF
B07,RM,B07,Parque Industrial - (M) Los Libertadores,,3,,ED1C24,FFFFFF
B08,RM,B08,Lo Marcoleta - Mall Plaza Norte,,3,,ED1C24,FFFFFF
B09,RM,B09,Lo Boza - Hospital Felix Bulnes,,3,,ED1C24,FFFFFF
B10,RM,B10,Villa Los Libertadores - (M) Cerro Blanco,,3,,ED1C24,FFFFFF
B11,RM,B11,El Salto - Lo Marcoleta,,3,,ED1C24,FFFFFF
B12,RM,B12,(M) Zapadores - Lo Marcoleta,,3,,ED1C24,FFFFFF
B12c,RM,B12c,Lo Marcoleta - (M) Los Libertadores,,3,,ED1C24,FFFFFF
B13,RM,B13,(M) Vespucio Norte - Santa Luisa,,3,,ED1C24,FFFFFF
B14,RM,B14,El Salto - Mapocho,,3,,ED1C24,FFFFFF
B15,RM,B15,Arzobispo Valdivieso - Mapocho,,3,,ED1C24,FFFFFF
B16,RM,B16,El Carmen - (M) Vespucio Norte,,3,,ED1C24,FFFFFF
B17,RM,B17,Huamachuco - Av. Arzobispo Valdivieso,,3,,ED1C24,FFFFFF
B18,RM,B18,Villa Pucara - (M) Vespucio Norte,,3,,ED1C24,FFFFFF
B18e,RM,B18e,Villa Pucara - (M) Vespucio Norte,,3,,ED1C24,FFFFFF
B19,RM,B19,Juanita Aguirre - El Rosal,,3,,ED1C24,FFFFFF
B20,RM,B20,Miraflores - Mapocho,,3,,ED1C24,FFFFFF
B21,RM,B21,Plaza Chacabuco - Lo Marcoleta,,3,,ED1C24,FFFFFF
B22,RM,B22,Palacio Riesco - Urmeneta,,3,,ED1C24,FFFFFF
B23,RM,B23,Reina Maria - Mapocho,,3,,ED1C24,FFFFFF
B24,RM,B24,Huamachuco - Mapocho,,3,,ED1C24,FFFFFF
B25,RM,B25,(M) Vespucio Norte - (M) Cerro Blanco,,3,,ED1C24,FFFFFF
B26,RM,B26,El Cortijo - (M) Estacion Central,,3,,ED1C24,FFFFFF
B27,RM,B27,(M) Vespucio Norte - (M) Salvador,,3,,ED1C24,FFFFFF
B28,RM,B28,Huamachuco - (M) Estacion Central,,3,,ED1C24,FFFFFF
B29,RM,B29,Renca - (M) Santa Ana,,3,,ED1C24,FFFFFF
B30N,RM,B30N,Renca - Centro,,3,,ED1C24,FFFFFF
B31N,RM,B31N,Alameda - Quilicura,,3,,ED1C24,FFFFFF
B32,RM,B32,Valle Lo Campino - Plaza De Quilicura,,3,,ED1C24,FFFFFF
C01,RM,C01,(M) Francisco Bilbao - Cerro 18,,3,,ED1C24,FFFFFF
C01c,RM,C01c,(M) Escuela Militar - La Ermita,,3,,ED1C24,FFFFFF
C02,RM,C02,San Carlos De Apoquindo - (M) Escuela Militar,,3,,ED1C24,FFFFFF
C02c,RM,C02c,San Carlos De Apoquindo - (M) Los Dominicos,,3,,ED1C24,FFFFFF
C03,RM,C03,Rotonda Perez Zukjovic - Vital Apoquindo,,3,,ED1C24,FFFFFF
C03c,RM,C03c,Lo Gallo - Vital Apoquindo,,3,,ED1C24,FFFFFF
C05,RM,C05,La Ermita - (M) Francisco Bilbao,,3,,ED1C24,FFFFFF
C06,RM,C06,Vital Apoquindo - Ciudad Empresarial,,3,,ED1C24,FFFFFF
C06c,RM,C06c,Vital Apoquindo - (M) Colon,,3,,ED1C24,FFFFFF
C07,RM,C07,La Piramide - (M) Francisco Bilbao,,3,,ED1C24,FFFFFF
C08,RM,C08,Camino Real - Cantagallo,,3,,ED1C24,FFFFFF
C09,RM,C09,La Dehesa - Nueva Bilbao,,3,,ED1C24,FFFFFF
C10e,RM,C10e,(M) Tobalaba - Camino Juan Pablo Ii,,3,,ED1C24,FFFFFF
C11,RM,C11,(M) Escuela Militar - Tabancura,,3,,ED1C24,FFFFFF
C12,RM,C12,Camino Juan Pablo Ii - Cantagallo,,3,,ED1C24,FFFFFF
C13,RM,C13,Cantagallo - La Laguna,,3,,ED1C24,FFFFFF
C14,RM,C14,(M) Escuela Militar - Los Trapenses,,3,,ED1C24,FFFFFF
C15,RM,C15,(M) Escuela Militar - Estoril,,3,,ED1C24,FFFFFF
C16,RM,C16,Vital Apoquindo - El Huinganal,,3,,ED1C24,FFFFFF
C17,RM,C17,Cerro 18 - Los Trapenses,,3,,ED1C24,FFFFFF
C18,RM,C18,(M) Escuela Militar - Ciudad Empresarial,,3,,ED1C24,FFFFFF
C19,RM,C19,Bernardo Larrain Cotapos - Cantagallo,,3,,ED1C24,FFFFFF
C20,RM,C20,(M) Escuela Militar - Parque Arauco,,3,,ED1C24,FFFFFF
C22,RM,C22,(M) Escuela Militar - Rotonda Lo Curro,,3,,ED1C24,FFFFFF
D01,RM,D01,Plaza Egaña (M) - Antupiren,,3,,F58220,000000
D02,RM,D02,(M) Irarrazaval - Alvaro Casanova,,3,,F58220,000000
D03,RM,D03,(M) Toesca - Las Parcelas,,3,,F58220,000000
D03c,RM,D03c,(M) Plaza Egaña - Las Parcelas,,3,,F58220,000000
D05,RM,D05,(M) Franklin - Maria Angelica,,3,,F58220,000000
D07,RM,D07,Diagonal Las Torres - (M) Franklin,,3,,F58220,000000
D07c,RM,D07c,Diagonal Las Torres - (M) Los Presidentes,,3,,F58220,000000
D08,RM,D08,Av. Grecia - (M) Francisco Bilbao,,3,,F58220,000000
D09,RM,D09,Av. Grecia Oriente - (M) Manuel Montt,,3,,F58220,000000
D10,RM,D10,(M) Carlos Valdovinos - Diagonal Las Torres,,3,,F58220,000000
D11,RM,D11,Diagonal Las Torres - Mall Alto Las Condes,,3,,F58220,000000
D13,RM,D13,(M) Bellavista De La Florida - (M) Irarrazaval,,3,,00A77E,FFFFFF
D14,RM,D14,(M) Pedrero - (M) Quilin,,3,,F58220,000000
D15,RM,D15,Diagonal Las Torres - La Reina Alta,,3,,F58220,000000
D16,RM,D16,Maria Angelica - (M) Francisco Bilbao,,3,,F58220,000000
D17,RM,D17,Alto Macul - (M) Quilin,,3,,F58220,000000
D17v,RM,D17v,Las Pircas -  (M) Quilin,,3,,F58220,000000
D18,RM,D18,Alvaro Casanova - (M) Santa Isabel,,3,,F58220,000000
D20,RM,D20,Diagonal Las Torres - Av. Las Torres,,3,,F58220,000000
E01,RM,E01,San Jose De La Estrella - (M) Santa Rosa,,3,,00A77E,FFFFFF
E02,RM,E02,(M) Lo Ovalle - Diego Portales,,3,,00A77E,FFFFFF
E03,RM,E03,(M) Lo Ovalle  - Jardin Alto,,3,,00A77E,FFFFFF
E04,RM,E04,Av. La Florida - (M) Franklin,,3,,00A77E,FFFFFF
E05,RM,E05,(M) La Cisterna  - (M) Bellavista De La Florida,,3,,00A77E,FFFFFF
E06,RM,E06,(M) Bellavista De La Florida  - Maria Angelica,,3,,00A77E,FFFFFF
E07,RM,E07,(M) Bellavista De La Florida  - Rojas Magallanes,,3,,00A77E,FFFFFF
E08,RM,E08,Diego Portales - (M) Bellavista De La Florida,,3,,00A77E,FFFFFF
E09,RM,E09,(M) Elisa Correa - (M) Santa Rosa,,3,,00A77E,FFFFFF
E10,RM,E10,El Hualle - Santa Rosa P21,,3,,00A77E,FFFFFF
E11,RM,E11,Diego Portales - (M) Santa Rosa,,3,,00A77E,FFFFFF
E12,RM,E12,Gabriela - Santa Rosa P18,,3,,00A77E,FFFFFF
E13,RM,E13,Gabriela - (M) Bellavista De La Florida,,3,,00A77E,FFFFFF
E14,RM,E14,San Jose De La Estrella - (M) Bellavista De La Florida,,3,,00A77E,FFFFFF
E15c,RM,E15c,Gabriela - (M) Bellavista De La Florida,,3,,00A77E,FFFFFF
E16,RM,E16,Gabriela - (M) Santa Rosa,,3,,00A77E,FFFFFF
E17,RM,E17,(M) Bellavista De La Florida - Las Perdices,,3,,00A77E,FFFFFF
E18,RM,E18,Hospital Padre Hurtado - (M) Bellavista De La Florida,,3,,00A77E,FFFFFF
F01,RM,F01,Villa Padre Hurtado - Casas Viejas,,3,,FFC107,000000
F01c,RM,F01c,(M) Plaza Puente Alto - Casas Viejas,,3,,FFC107,000000
F02,RM,F02,Pie Andino - San Geronimo,,3,,FFC107,000000
F03,RM,F03,(M) Plaza Puente Alto - Plaza San Bernardo,,3,,FFC107,000000
F03c,RM,F03c,Pie Andino - Villa Las Mamiñas,,3,,FFC107,000000
F05,RM,F05,(M) La Cisterna - Pie Andino,,3,,FFC107,000000
F06,RM,F06,(M) La Cisterna - Pie Andino,,3,,FFC107,000000
F07,RM,F07,Mall Plaza Tobalaba - Villa Padre Hurtado,,3,,FFC107,000000
F08,RM,F08,Villa Padre Hurtado - Diego Portales,,3,,FFC107,000000
F09,RM,F09,Pie Andino - (M) Elisa Correa,,3,,FFC107,000000
F10,RM,F10,San Guillermo - Mall Plaza Tobalaba,,3,,FFC107,000000
F10c,RM,F10c,San Guillermo - Mall Plaza Tobalaba,,3,,FFC107,000000
F11,RM,F11,Las Vizcachas - Pie Andino,,3,,FFC107,000000
F12,RM,F12,Bajos De Mena - (M) Plaza Puente Alto,,3,,FFC107,000000
F12c,RM,F12c,Av. Juanita - (M) Plaza Puente Alto ,,3,,FFC107,000000
F13,RM,F13,Bajos De Mena - Mall Plaza Tobalaba,,3,,FFC107,000000
F13c,RM,F13c,Bajos De Mena - (M) Plaza Puente Alto,,3,,FFC107,000000
F14,RM,F14,Villa Padre Hurtado - (M) Plaza Puente Alto,,3,,FFC107,000000
F15,RM,F15,Bajos De Mena - (M) Elisa Correa,,3,,FFC107,000000
F16,RM,F16,Villa Padre Hurtado - Rivera Rio Maipo,,3,,FFC107,000000
F18,RM,F18,Villa Chiloe - (M) Plaza Puente Alto,,3,,FFC107,000000
F19,RM,F19,Pie Andino - Mall Plaza Tobalaba,,3,,FFC107,000000
F20,RM,F20,(M) La Cisterna - Pie Andino,,3,,FFC107,000000
F24,RM,F24,Casas Viejas -  (M) Elisa Correa,,3,,FFC107,000000
F25,RM,F25,Bajos De Mena - (M) Bellavista De La Florida,,3,,FFC107,000000
F25e,RM,F25e,Bajos De Mena - (M) Bellavista De La Florida,,3,,FFC107,000000
F26,RM,F26,Villa Padre Hurtado - San Carlos Oriente,,3,,FFC107,000000
F27,RM,F27,Villa Padre Hurtado - Villa Portezuelo Oriente,,3,,FFC107,000000
F29,RM,F29,Pie Andino - Casas Viejas,,3,,FFC107,000000
F30N,RM,F30N,Bajos De Mena - La Moneda,,3,,FFC107,000000
G01,RM,G01,Villa 4 De Septiembre - Santo Tomas,,3,,0951BC,FFFFFF
G01c,RM,G01c,Villa 4 De Septiembre - Santa Rosa P. 21,,3,,0951BC,FFFFFF
G02,RM,G02,Plaza San Bernardo - Puente Los Morros,,3,,0951BC,FFFFFF
G04,RM,G04,(M) La Cisterna - Santo Tomas,,3,,0951BC,FFFFFF
G05,RM,G05,El Castillo - (M) La Cisterna,,3,,0951BC,FFFFFF
G07,RM,G07,San Francisco - Lo Herrera,,3,,0951BC,FFFFFF
G08,RM,G08,Poblacion La Selva - (M) La Cisterna,,3,,0951BC,FFFFFF
G08v,RM,G08v,Nos - (M) La Cisterna,,3,,0951BC,FFFFFF
G09,RM,G09,Lo Blanco - Santa Margarita,,3,,0951BC,FFFFFF
G11,RM,G11,Lo Blanco - (M) Lo Ovalle,,3,,0951BC,FFFFFF
G12,RM,G12,(M) Lo Ovalle - Cementerio Metropolitano,,3,,0951BC,FFFFFF
G13,RM,G13,(M) La Cisterna - El Castillo,,3,,0951BC,FFFFFF
G14,RM,G14,Estacion Lo Blanco - Poblacion Valle Nevado,,3,,0951BC,FFFFFF
G15,RM,G15,(M) La Cisterna - Santo Tomas,,3,,0951BC,FFFFFF
G16,RM,G16,(M) La Cisterna - Lo Blanco,,3,,0951BC,FFFFFF
G18,RM,G18,Santo Tomas - (M) Lo Ovalle,,3,,0951BC,FFFFFF
G22,RM,G22,Villa España - (M) La Cisterna,,3,,0951BC,FFFFFF
G23,RM,G23,Estacion Lo Blanco - Santa Rosa P.43,,3,,0951BC,FFFFFF
H02,RM,H02,(M) Carlos Valdovinos - (M) Lo Vial ,,3,,00A77E,FFFFFF
H03,RM,H03,(M) Lo Ovalle - Mall Plaza Oeste,,3,,00A77E,FFFFFF
H04,RM,H04,(M) Carlos Valdovinos  -  La Victoria,,3,,00A77E,FFFFFF
H05,RM,H05,(M) Carlos Valdovinos - Pobl. Davila,,3,,00A77E,FFFFFF
H06,RM,H06,Pobl. Las Turbinas - Av. Matta,,3,,00A77E,FFFFFF
H07,RM,H07,(M) Ñuble  - (M) Lo Ovalle,,3,,00A77E,FFFFFF
H08,RM,H08,Pobl.  Las Turbinas - (M) Lo Ovalle,,3,,00A77E,FFFFFF
H09,RM,H09,Pobl. Davila - (M) Carlos Valdovinos,,3,,00A77E,FFFFFF
H12,RM,H12,Lo Espejo - (M) Franklin,,3,,00A77E,FFFFFF
H13,RM,H13,Santa Olga - Posta Central,,3,,00A77E,FFFFFF
H14,RM,H14,Mall Florida Center - (M) Franklin,,3,,00A77E,FFFFFF
I01,RM,I01,Villa Los Heroes - Hospital Borja Arriaran,,3,,00A77E,FFFFFF
I02,RM,I02,Rinconada - (M) Laguna Sur,,3,,00A77E,FFFFFF
I03,RM,I03,Villa Los Heroes - (M) Las Rejas,,3,,00A77E,FFFFFF
I03c,RM,I03c,Valle Verde - (M) San Alberto Hurtado,,3,,00A77E,FFFFFF
I04,RM,I04,Villa El Abrazo - (M) San Alberto Hurtado,,3,,00A77E,FFFFFF
I04c,RM,I04c,Villa El Abrazo - (M) Plaza Maipu,,3,,00A77E,FFFFFF
I04e,RM,I04e,Villa El Abrazo - (M) Plaza Maipu,,3,,00A77E,FFFFFF
I05,RM,I05,Rinconada - (M) Lo Ovalle,,3,,00A77E,FFFFFF
I07,RM,I07,Rinconada - Mall Arauco Maipu,,3,,00A77E,FFFFFF
I08,RM,I08,Mall Arauco Maipu - (M) San Alberto Hurtado,,3,,00A77E,FFFFFF
I08c,RM,I08c,La Farfana - (M) Del Sol,,3,,00A77E,FFFFFF
I08N,RM,I08N,La Farfana - Alameda,,3,,00A77E,FFFFFF
I09,RM,I09,Rinconada - (M) U. De Chile,,3,,00A77E,FFFFFF
I09c,RM,I09c,Rinconada - (M) Las Rejas,,3,,00A77E,FFFFFF
I09e,RM,I09e,Rinconada - (M) U. De Chile,,3,,00A77E,FFFFFF
